JOB_TITLE,SOC_CODE,SOC_TITLE,YEAR,QUARTER,TOTAL_CASES,TOTAL_WORKERS,AVG_SALARY,MAX_SALARY,APPROVAL_RATE
TECHNOLOGY STRATEGY & INNOVATION MANAGER,11-3021.00,Computer and Information Systems Managers,2025,Q2,1,1,129364.000000,129364,100.00
PRINCIPAL ENGINNER,15-1252.00,Software Developers,2025,Q2,1,1,126819.000000,126819,100.00
"SR. ENGINEER, MODEL BASED DEVELOPMENT",17-2141.02,Automotive Engineers,2025,Q2,1,1,94695.000000,94695,100.00
FINANCIAL QUANTITATIVE ANALYSTS - KBGFJG179797-8,13-2051.00,Financial and Investment Analysts,2025,Q2,1,1,152584.000000,152584,0.00
"SNR VICE PRESIDENT, TECHNOLOGY AUDIT",13-1082.00,Project Management Specialists,2025,Q2,1,1,168000.000000,168000,100.00
DATA SCIENTIST - AIOPS,15-2051.00,Data Scientists,2025,Q2,1,1,54.000000,54,100.00
"ASSOCIATE, SR PRODUCT DELIVERY ASSOCIATE",41-9031.00,Sales Engineers,2025,Q2,1,1,94000.000000,94000,100.00
"MANAGER, STRATEGY & TRANSFORMATION",11-1021.00,General and Operations Managers,2025,Q2,1,1,181281.000000,181281,100.00
ACCOUNTANTS AND AUDITORS - KBGFJG181454-6,13-2011.00,Accountants and Auditors,2025,Q2,1,1,99918.000000,99918,100.00
CORPORATE VICE PRESIDENT & ACTUARY,15-2011.00,Actuaries,2025,Q2,1,1,145417.000000,145417,100.00
"PRINCIPAL, IT SOFTWARE ENGINEER",15-1252.00,Software Developers,2025,Q2,1,1,162759.000000,162759,100.00
SENIOR DATA ENGINEER-DATA & METRICS,15-1252.00,Software Developers,2025,Q2,1,1,234570.000000,234570,100.00
"MANAGER, BUSINESS CONTROLLING",11-3031.00,Financial Managers,2025,Q2,2,2,110000.000000,110000,50.00
SYSTEM/NETWORK ENGINEERING SPECIALIST,15-1299.00,"Computer Occupations, All Other",2025,Q2,1,1,163495.000000,163495,100.00
ELA-S ELEMENTARY SCHOOL TEACHER,25-2021.00,"Elementary School Teachers, Except Special Education",2025,Q2,1,1,69652.000000,69652,100.00
DATABASE ADMINISTRATORS - KBGFJG331750-1,15-1242.00,Database Administrators,2025,Q2,1,1,90000.000000,90000,100.00
TECHNICAL WRITER-VIETNAMESE,27-3042.00,Technical Writers,2025,Q2,1,1,53000.000000,53000,0.00
"LEAD, SOFTWARE ENGINEER - KBGFJG203389-4",15-1252.00,Software Developers,2025,Q2,1,1,163000.000000,163000,100.00
HEALTHCARE PROFESSIONAL 2 / ARMHS WORKER,21-1023.00,Mental Health and Substance Abuse Social Workers,2025,Q2,1,1,56867.000000,56867,100.00
NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS - KBGFJG219665-7,15-1244.00,Network and Computer Systems Administrators,2025,Q2,3,3,71400.000000,71400,100.00
"SR ENGINEER II, AUTOMATION",15-1253.00,Software Quality Assurance Analysts and Testers,2025,Q2,1,1,139402.000000,139402,100.00
"PRODUCT MARKETING MANAGER, EARNERS",11-2021.00,Marketing Managers,2025,Q2,1,1,176000.000000,176000,100.00
SENIOR DESIGN CONTROLS ENGINEER,17-2072.00,"Electronics Engineers, Except Computer",2025,Q2,1,1,105000.000000,105000,100.00
PR & COMMUNICATIONS SPECIALIST,27-3031.00,Public Relations Specialists,2025,Q2,1,1,71282.000000,71282,100.00
POSTDOCTORAL SCHOLAR EMPLOYEE,15-2041.01,Biostatisticians,2025,Q2,1,1,61693.000000,61693,100.00
PRINCIPAL STAFF RESEARCHER,15-1221.00,Computer and Information Research Scientists,2025,Q2,1,25,200697.000000,200697,100.00
BUSINESS INTELLIGENCE SPECIALIST ADVISOR,15-1242.00,Database Administrators,2025,Q2,1,1,133869.000000,133869,100.00
ADVANCED  SOFTWARE DEVELOPER,15-1252.00,Software Developers,2025,Q2,1,10,64.000000,64,100.00
MEDICAL PRACTICE MANAGER,11-9111.00,Medical and Health Services Managers,2025,Q2,1,1,97885.000000,97885,100.00
SUSTAINABLE ENGINEERING ASSOCIATE,17-2051.00,Civil Engineers,2025,Q2,3,3,101853.000000,102890,33.33
SENIOR BUSINESS INTELLIGENCE DEVELOPER,15-1242.00,Database Administrators,2025,Q2,1,1,144678.000000,144678,100.00
RESEARCH PROFESSIONAL II,15-1221.00,Computer and Information Research Scientists,2025,Q2,1,1,59634.000000,59634,100.00
DATA ENGINEER SENIOR ADVISOR,15-1243.00,Database Architects,2025,Q2,1,1,163966.000000,163966,100.00
FRAUD ANALYST II,15-2031.00,Operations Research Analysts,2025,Q2,1,1,71261.000000,71261,100.00
TEST ENGINEER - USDS,15-1253.00,Software Quality Assurance Analysts and Testers,2025,Q2,1,10,102710.000000,102710,100.00
"DIRECTOR, SOFTWARE ENGINEERING - DERIVATIVES",11-3021.00,Computer and Information Systems Managers,2025,Q2,1,1,175000.000000,175000,100.00
PHYSICIAN IN AN ADVANCED CARDIAC IMAGING FELLOWSHIP PROGRAM,29-1229.00,"Physicians, All Other",2025,Q2,1,1,90000.000000,90000,100.00
AMERICAS BUSINESS ADVISORY VP & BUSINESS GROUP LEADER,11-1021.00,General and Operations Managers,2025,Q2,1,1,235000.000000,235000,100.00
ENGINEERING LEAD,15-1299.09,Information Technology Project Managers,2025,Q2,1,1,185000.000000,185000,100.00
SENIOR OPERATIONS AND IMPLEMENTATION ANALYST,15-1299.09,Information Technology Project Managers,2025,Q2,1,1,110000.000000,110000,100.00
FINANCIAL AND INVESTMENT ANALYSTS - KBGFJG219127-6,13-2051.00,Financial and Investment Analysts,2025,Q2,3,3,110000.000000,110000,100.00
STAFF SOFTWARE ENGINEER - BIG DATA,15-1252.00,Software Developers,2025,Q2,1,1,199200.000000,199200,100.00
PRINCIPAL POS ENGINEER,15-1299.08,Computer Systems Engineers/Architects,2025,Q2,1,1,128461.000000,128461,100.00
TECHNICAL SERVICE/SALES MANAGER,17-2112.00,Industrial Engineers,2025,Q2,1,1,93749.000000,93749,100.00
PROJECT MANAGER MEDICAL TECHNOLOGY STRATEGY AND PLANNING,11-9041.00,Architectural and Engineering Managers,2025,Q2,1,1,95.000000,95,100.00
MASTER SOCIAL WORKER,21-1023.00,Mental Health and Substance Abuse Social Workers,2025,Q2,3,3,52541.000000,52541,100.00
ANALYST,17-2141.00,Mechanical Engineers,2025,Q2,2,2,79965.500000,80683,100.00
POSTDOCTORAL FELLOW,19-1029.04,Biologists,2025,Q2,1,1,77942.000000,77942,100.00
ACCOUNT MANAGER,43-9041.00,Insurance Claims and Policy Processing Clerks,2025,Q2,1,1,18.000000,18,0.00
ARCHITECT I - CLOUD INFRASTRUCTURE SERVICES,15-1299.08,Computer Systems Engineers/Architects,2025,Q2,1,1,95742.000000,95742,100.00
SENIOR ASSOCIATE IS ENGINEER,15-1252.00,Software Developers,2025,Q2,1,1,95150.000000,95150,100.00
SENIOR STAFF GPU SOFTWARE ENGINEER,15-1252.00,Software Developers,2025,Q2,1,1,177154.000000,177154,100.00
